,location,price,type,bedrooms,bathrooms,furnishing,listed by,super builtup area (ft²),carpet area (ft²),bachelors allowed,maintenance (monthly),total floors,car parking,floor no,facing,project name
0,"Borivali East, Mumbai, Maharashtra","₹ 15,000",Apartments,1,1,Unfurnished,Dealer,450,400,Yes,0,3,1,3,North,
1,"Manpada, Thane, Maharashtra","₹ 23,000",Apartments,2,2,Semi-Furnished,Owner,1050,705,Yes,0,21,0,9,North-East,
2,"Vasai West, Mumbai, Maharashtra","₹ 7,000",Apartments,1,1,Semi-Furnished,Dealer,450,350,No,500,3,0,2,East,
3,none,,,,,,,,,,,,,,,
4,"Palava City, Thane, Maharashtra","₹ 5,000",Apartments,1,1,Unfurnished,Dealer,490,377,Yes,0,12,1,6,East,
5,"Khaira, Boisar, Maharashtra","₹ 14,000",Houses & Villas,2,3,Unfurnished,Dealer,1700,1100,Yes,,2,1,1,North-East,Chitralaya mada
6,"Serene Meadows, Nashik, Maharashtra","₹ 31,000",Apartments,3,3,Furnished,Dealer,1600,1350,No,1500,11,1,5,East,
7,"Taloja Panchanand, Navi Mumbai, Maharashtra","₹ 11,000",Apartments,2,2,Unfurnished,Dealer,1100,700,No,0,24,1,10,North-West,
8,"Nilje Gaon, Navi Mumbai, Maharashtra","₹ 11,000",Apartments,2,2,Unfurnished,Dealer,909,686,Yes,0,8,1,3,North,
9,"Shivaji Nagar, Mumbai, Maharashtra","₹ 1,000",Houses & Villas,1,1,Unfurnished,Owner,180,180,No,500000,2,0,0,East,
10,"CIDCO Colony, Boisar, Maharashtra","₹ 2,500",Apartments,1,1,Unfurnished,Owner,250,0,Yes,800,1,0,,West,Shuklacompound
11,"Virar West, Thane, Maharashtra","₹ 7,500",Apartments,1,2,Semi-Furnished,Dealer,640,390,No,,12,0,,West,
12,"Karve Nagar, Pune, Maharashtra","₹ 5,000",Apartments,1,1,Unfurnished,Owner,400,400,Yes,0,3,0,1,East,
13,"Mandvi, Mumbai, Maharashtra","₹ 40,000",Apartments,2,2,Unfurnished,Owner,750,550,Yes,,3,0,2,West,Zohra Manzil
14,"Thergaon, Pune, Maharashtra","₹ 19,000",Apartments,2,2,Semi-Furnished,Owner,960,700,Yes,2400,10,1,4,West,
15,"Nilje Gaon, Navi Mumbai, Maharashtra","₹ 10,500",Apartments,2,2,Unfurnished,Dealer,909,686,Yes,0,8,1,5,North,
16,"Dighi, Pune, Maharashtra","₹ 9,000",Apartments,1,1,Unfurnished,Owner,500,550,Yes,1400,4,1,2,East,
17,"Palava City, Thane, Maharashtra","₹ 4,500",Apartments,1,1,Unfurnished,Dealer,396,305,Yes,0,12,1,4,East,
18,"Dronagiri, Navi Mumbai, Maharashtra","₹ 25,000",Apartments,2,4+,Unfurnished,Dealer,2100,1350,No,0,14,2,4,East,
19,"Ulwe, Navi Mumbai, Maharashtra","₹ 7,500",Apartments,1,1,Unfurnished,Dealer,650,650,Yes,0,7,1,5,East,
20,"Andheri West, Mumbai, Maharashtra","₹ 56,000",Apartments,2,2,Unfurnished,Dealer,1200,900,Yes,,9,1,5,East,VEERA DESAI
21,"Magarpatta City, Pune, Maharashtra","₹ 14,000",Apartments,1,1,Semi-Furnished,Dealer,670,450,Yes,0,9,1,6,East,
22,"Bavdhan, Pune, Maharashtra","₹ 20,000",Apartments,2,2,Unfurnished,Dealer,1030,790,Yes,0,14,1,11,East,
23,"Palava City, Thane, Maharashtra","₹ 8,500",Apartments,2,2,Unfurnished,Dealer,848,650,Yes,0,18,1,2,East,
24,"Ghansoli, Navi Mumbai, Maharashtra","₹ 6,300",Apartments,1,1,Unfurnished,Dealer,395,275,Yes,,3,0,2,East,KARTIK ENTERPRISES
25,"Gangapur, Nashik, Maharashtra","₹ 13,000",Apartments,1,1,Unfurnished,Dealer,1100,850,No,500,3,1,2,East,
26,"Serene Meadows, Nashik, Maharashtra","₹ 45,000",Apartments,3,3,Furnished,Dealer,3000,2500,No,0,2,1,1,West,
27,"Canada Corner Chowk, Nashik, Maharashtra","₹ 35,000",Apartments,4,3,Semi-Furnished,Dealer,2800,2300,Yes,800,4,1,2,East,
28,"Jehan Circle, Nashik, Maharashtra","₹ 48,000",Apartments,3,3,Furnished,Dealer,300,2500,No,4000,11,2,5,East,
29,"Karve Nagar, Pune, Maharashtra","₹ 10,500",Apartments,1,1,Unfurnished,Owner,600,600,Yes,0,3,0,2,East,
30,"Dattatray Nagar, Nashik, Maharashtra","₹ 1,200",Houses & Villas,3,2,Semi-Furnished,Owner,700,100,Yes,100,2,3+,2,West,
31,"Jogeshwari West, Mumbai, Maharashtra","₹ 33,000",Apartments,2,2,,Dealer,650,550,No,,7,,,,HARCHU SIND BAHAR
32,"Dombivli West, Thane, Maharashtra","₹ 11,000",Apartments,1,1,Furnished,Dealer,500,435,Yes,0,5,1,3,North,
33,"Jogeshwari West, Mumbai, Maharashtra","₹ 47,000",Apartments,2,2,Unfurnished,Dealer,900,745,No,,14,,,,SAGAR TOWER JOGESHWARI WEST
34,"Jogeshwari West, Mumbai, Maharashtra","₹ 42,000",Apartments,2,2,Unfurnished,Dealer,961,712,No,,21,1,,,UNIVERSAL CUBICAL
35,"Jogeshwari West, Mumbai, Maharashtra","₹ 25,000",Apartments,1,1,Unfurnished,Dealer,550,415,No,,8,0,2,,LILLY TOWER
36,"Palava City, Thane, Maharashtra","₹ 25,000",Apartments,2,2,Furnished,Dealer,909,686,Yes,0,22,1,1403,East,
